rank,name,score
251,rayiner,-1322.44
252,Vivtek,-1324.06
253,mkr-hn,-1330.22
254,pmorici,-1333.21
255,citricsquid,-1333.26
256,nandemo,-1335.45
257,GHFigs,-1335.67
258,dfranke,-1336.5
259,0x0,-1337.95
260,jacques_chester,-1338.21
261,freehunter,-1341.26
262,PavlovsCat,-1349.55
263,tlrobinson,-1353.55
264,zalew,-1355.01
265,wisty,-1355.93
266,shmerl,-1357.71
267,kabdib,-1358.16
268,est,-1362.8
269,laumars,-1362.89
270,gadders,-1373.99
271,collyw,-1378.38
272,chc,-1378.48
273,InclinedPlane,-1378.52
274,aw3c2,-1381.97
275,seivan,-1383.56
276,Touche,-1385.99
277,dalke,-1389.28
278,notatoad,-1390.47
279,debacle,-1393.77
280,jessedhillon,-1395.22
281,toyg,-1396.92
282,DannoHung,-1397.7
283,joubert,-1399.2
284,kolev,-1412.29
285,colanderman,-1420.58
286,pbreit,-1420.77
287,jcromartie,-1422.87
288,AnimalMuppet,-1426.65
289,PaulHoule,-1428.34
290,omouse,-1434.97
291,eropple,-1438.23
292,res0nat0r,-1440.67
293,j_baker,-1448.58
294,MichaelApproved,-1449.08
295,RexRollman,-1449.57
296,hugh3,-1450.2
297,moe,-1450.87
298,olalonde,-1453.67
299,megablast,-1454.9
300,lisper,-1456.54
301,nitrogen,-1457.18
302,viraptor,-1458.42
303,brown9-2,-1461.84
304,TylerE,-1461.86
305,marcosdumay,-1464.46
306,krschultz,-1466.1
307,dennisgorelik,-1472.96
308,ihsw,-1481.62
309,scott_s,-1485.16
310,taligent,-1486.39
311,higherpurpose,-1490.29
312,sarciszewski,-1491.52
313,scott_karana,-1495.7
314,baby,-1495.86
315,MichaelGG,-1497.14
316,anonymoushn,-1498.62
317,maxerickson,-1500.2
318,benologist,-1503.67
319,zokier,-1503.82
320,threeseed,-1511.61
321,endtime,-1512.21
322,PeterisP,-1513.7
323,ZeroGravitas,-1513.91
324,niggler,-1518.74
325,anigbrowl,-1519.55
326,harryh,-1520.47
327,lucb1e,-1521.15
328,jshen,-1522.2
329,ori_b,-1523.33
330,Estragon,-1525.83
331,detaro,-1531.44
332,crdoconnor,-1532.11
333,muyuu,-1532.77
334,chii,-1534.92
335,eru,-1540.46
336,Udo,-1540.62
337,Shivetya,-1541.42
338,j_s,-1542.65
339,gaius,-1542.75
340,wazoox,-1545.53
341,mistercow,-1545.97
342,coldtea,-1545.97
343,crusso,-1547.25
344,falcolas,-1547.55
345,bduerst,-1552.23
346,kazinator,-1561.93
347,kmfrk,-1564.33
348,darklajid,-1567.64
349,waterlesscloud,-1570.21
350,FooBarWidget,-1573.02
351,CmonDev,-1576.58
352,jbooth,-1578.95
353,Zikes,-1581.56
354,dfc,-1581.83
355,noonespecial,-1585.6
356,ErrantX,-1585.79
357,EliRivers,-1587.31
358,001sky,-1589.14
359,stephengillie,-1589.7
360,a3n,-1591.05
361,dragontamer,-1591.74
362,csense,-1605.13
363,ajross,-1605.41
364,pygy_,-1606.0
365,CamperBob,-1606.35
366,MichaelCrawford,-1606.85
367,kordless,-1609.32
368,DrJokepu,-1618.13
369,ygra,-1618.59
370,true_religion,-1619.41
371,moron4hire,-1620.18
372,eps,-1624.59
373,voltagex_,-1626.55
374,mtgx,-1626.58
375,MatthewPhillips,-1633.18
376,ugh,-1635.68
377,CWuestefeld,-1638.01
378,olefoo,-1638.76
379,w1ntermute,-1642.9
380,gte910h,-1645.98
381,nailer,-1651.71
382,Terretta,-1659.7
383,Hexstream,-1663.01
384,cheald,-1664.11
385,trhway,-1664.76
386,toomuchtodo,-1665.3
387,alaskamiller,-1669.03
388,scotty79,-1672.37
389,loup-vaillant,-1674.02
390,gurkendoktor,-1678.15
391,unreal37,-1678.27
392,aswanson,-1690.27
393,JadeNB,-1690.52
394,WalterBright,-1693.68
395,chaostheory,-1693.72
396,seldo,-1693.78
397,learc83,-1694.93
398,peterwwillis,-1696.21
399,jasonlotito,-1699.75
400,dragonwriter,-1699.79
401,gfodor,-1700.16
402,jrochkind1,-1706.61
403,meowface,-1712.14
404,beagle3,-1716.08
405,michaelpinto,-1716.97
406,hackinthebochs,-1719.99
407,api,-1720.45
408,buster,-1723.38
409,josephlord,-1724.62
410,idlewords,-1728.1
411,Alex3917,-1733.93
412,maratd,-1735.23
413,superuser2,-1740.56
414,msandford,-1742.17
415,kelnos,-1742.76
416,ajuc,-1743.64
417,smackfu,-1744.45
418,ricardobeat,-1745.54
419,nollidge,-1747.21
420,seiji,-1753.17
421,sliverstorm,-1754.16
422,akkartik,-1756.59
423,tocomment,-1759.6
424,pmjordan,-1759.66
425,nl,-1761.29
426,kragen,-1765.06
427,chrischen,-1765.52
428,vezzy-fnord,-1766.74
429,smacktoward,-1768.1
430,bambax,-1769.83
431,meric,-1772.23
432,dublinben,-1772.64
433,jiggy2011,-1773.1
434,mhb,-1774.09
435,andybak,-1775.96
436,joelrunyon,-1777.18
437,stonemetal,-1779.88
438,junto,-1780.46
439,naner,-1780.96
440,wvenable,-1783.11
441,TeMPOraL,-1783.71
442,ojbyrne,-1786.71
443,anamax,-1787.57
444,SilasX,-1788.66
445,warfangle,-1788.71
446,mseebach,-1790.0
447,Zak,-1790.81
448,benatkin,-1790.94
449,mixmastamyk,-1794.5
450,nkassis,-1799.22
451,twic,-1799.7
452,jodrellblank,-1802.22
453,Mithaldu,-1804.02
454,Someone1234,-1808.65
455,rbanffy,-1811.26
456,cpeterso,-1813.28
457,latch,-1814.23
458,bitwize,-1816.17
459,ctdonath,-1816.84
460,hcarvalhoalves,-1817.3
461,andrewflnr,-1821.93
462,cafard,-1824.11
463,rick888,-1824.14
464,Retric,-1825.4
465,peteretep,-1829.61
466,nazgulnarsil,-1830.88
467,ComputerGuru,-1832.62
468,marvin,-1835.89
469,SoftwareMaven,-1837.39
470,jarek,-1838.04
471,seanmcdirmid,-1840.74
472,patrickaljord,-1841.02
473,nhebb,-1846.29
474,michaelt,-1847.45
475,cromwellian,-1847.5
476,GhotiFish,-1848.79
477,extension,-1851.28
478,grecy,-1853.81
479,fennecfoxen,-1856.31
480,ido,-1856.84
481,nostromo,-1857.61
482,TomOfTTB,-1862.11
483,DenisM,-1862.69
484,ZoFreX,-1864.56
485,dredmorbius,-1865.04
486,Someone,-1866.0
487,btilly,-1879.33
488,X-Istence,-1880.34
489,lukifer,-1882.41
490,jacoblyles,-1884.38
491,joezydeco,-1886.77
492,eshvk,-1888.82
493,amelius,-1890.31
494,ekianjo,-1890.77
495,pdonis,-1891.22
496,redthrowaway,-1892.09
497,angersock,-1893.07
498,alanh,-1894.29
499,Tloewald,-1895.97
500,jonknee,-1901.13
501,prawn,-1901.32
502,ForHackernews,-1906.88
503,sukuriant,-1907.2
504,axod,-1909.05
505,gus_massa,-1919.76
506,nicholassmith,-1923.92
507,fleitz,-1925.32
508,ig1,-1927.77
509,jws,-1928.53
510,tomp,-1936.77
511,JonnieCache,-1941.91
512,fpgeek,-1941.92
513,roc,-1942.45
514,untog,-1948.1
515,adrianwaj,-1950.94
516,dspillett,-1952.55
517,zdw,-1959.08
518,skrebbel,-1962.52
519,Kalium,-1963.0
520,biot,-1970.32
521,marshray,-1971.27
522,JoachimSchipper,-1971.63
523,Nursie,-1972.05
524,cperciva,-1973.3
525,wslh,-1974.16
526,corin_,-1975.84
527,mcv,-1980.66
528,arethuza,-1992.84
529,dllthomas,-1994.39
530,gwern,-2000.06
531,mahyarm,-2000.65
532,matwood,-2000.98
533,orangecat,-2002.25
534,jerf,-2004.93
535,__david__,-2005.06
536,jcl,-2008.31
537,JabavuAdams,-2009.25
538,jlgaddis,-2011.16
539,stretchwithme,-2011.26
540,javert,-2011.51
541,mc32,-2011.52
542,lallysingh,-2014.48
543,sethg,-2015.04
544,ThomPete,-2017.47
545,jgrahamc,-2021.02
546,reitzensteinm,-2022.44
547,phaus,-2028.3
548,nextparadigms,-2028.6
549,pjmlp,-2029.42
550,Locke1689,-2029.69
551,josefresco,-2030.15
552,biohacker42,-2031.59
553,KirinDave,-2033.14
554,dmix,-2036.05
555,lloeki,-2038.04
556,fusiongyro,-2039.56
557,mercurial,-2039.59
558,tim333,-2042.66
559,chiph,-2042.88
560,jamesaguilar,-2047.73
561,joshstrange,-2056.21
562,pcwalton,-2057.14
563,euroclydon,-2067.53
564,jacquesm,-2068.53
565,dagw,-2074.38
566,andreyf,-2075.32
567,ynniv,-2075.83
568,glhaynes,-2077.25
569,pilif,-2077.77
570,lispm,-2081.63
571,erikpukinskis,-2082.2
572,abecedarius,-2090.01
573,kirubakaran,-2092.14
574,jessriedel,-2092.21
575,nickb,-2094.13
576,defen,-2096.22
577,run4yourlives,-2097.1
578,georgemcbay,-2099.55
579,fallentimes,-2100.4
580,delinka,-2110.01
581,netcan,-2112.06
582,sillysaurus3,-2115.11
583,alttab,-2119.46
584,danieltillett,-2120.86
585,amirmc,-2124.86
586,MartinCron,-2128.35
587,jamesbritt,-2129.08
588,pavs,-2134.7
589,wmeredith,-2135.39
590,aaronbrethorst,-2138.53
591,Dewie,-2139.79
592,nikcub,-2140.16
593,MBCook,-2143.31
594,cryptoz,-2144.05
595,jheriko,-2144.66
596,Tycho,-2145.25
597,Florin_Andrei,-2147.96
598,rms,-2149.17
599,oneeyedpigeon,-2152.14
600,marknutter,-2152.38
601,ColinWright,-2152.49
602,DanielStraight,-2163.61
603,Alupis,-2168.04
604,hristov,-2169.17
605,iamwil,-2171.05
606,natch,-2171.4
607,fit2rule,-2173.91
608,mrtron,-2177.23
609,ScottBurson,-2178.34
610,kbenson,-2180.1
611,einhverfr,-2183.39
612,johns,-2185.9
613,gbog,-2188.14
614,technomancy,-2188.69
615,agumonkey,-2190.82
616,k-mcgrady,-2196.41
617,nly,-2198.07
618,dhimes,-2198.22
619,alnayyir,-2199.75
620,spindritf,-2199.97
621,zanny,-2204.63
622,lmm,-2206.78
623,DennisP,-2208.26
624,dkarl,-2209.79
625,raverbashing,-2211.81
626,corresation,-2212.6
627,astine,-2214.36
628,pohl,-2217.26
629,Symmetry,-2220.16
630,drcode,-2221.76
631,wladimir,-2226.23
632,sergiotapia,-2228.27
633,jqm,-2228.58
634,willvarfar,-2233.29
635,NathanKP,-2236.1
636,code_duck,-2236.24
637,jcr,-2238.74
638,cmelbye,-2241.05
639,mikeryan,-2241.2
640,russell,-2244.7
641,there,-2245.55
642,dschiptsov,-2246.98
643,andrewljohnson,-2251.19
644,thwarted,-2254.77
645,HeyLaughingBoy,-2258.92
646,blhack,-2262.06
647,riffraff,-2266.03
648,userbinator,-2270.64
649,RiderOfGiraffes,-2274.07
650,uptown,-2276.98
651,vidarh,-2280.11
652,daeken,-2282.13
